"rq"="rq"[10],"czyh"="czyh"[10],"czyxm"="czyxm"[8],"ywh"="ywh"[10],"xgnr"="xgnr"[60],"czsj"="czsj"[10],"wkdz"="wkdz"[12],"zy"="zy"[60];
"20000320","1","金仕达","","-\3E","090353","123456789012","";
"20000320","1","金仕达","","-\3E","090357","123456789012","";
"20000320","1","金仕达","","-\3E","090521","123456789012","";
"20000320","1","金仕达","","-\3E","090531","123456789012","";
"20000320","1","金仕达","","-\3E","090534","123456789012","";
"20000320","1","金仕达","","-\3E","090538","123456789012","";
"20000320","1","金仕达","","-\3E","111004","123456789012","";
"20000320","1","金仕达","","-\3E","111024","123456789012","";
"20000320","1","金仕达","","-\3E","111028","123456789012","";
"20000320","1","金仕达","","-\3E","111046","123456789012","";
"20000320","1","金仕达","","-\3E","111054","123456789012","";
"20000320","1","金仕达","","-\3E","111108","123456789012","";
"20000320","1","金仕达","","-\3E","111758","123456789012","";
"20000320","1","金仕达","","-\3E","111828","123456789012","";
"20000320","1","金仕达","","-\3E","111855","123456789012","";
"20000320","1","金仕达","","-\3E","111913","123456789012","";
"20000320","1","金仕达","","-\3E","111921","123456789012","";
"20000320","1","金仕达","","-\3E","111926","123456789012","";
"20000320","1","金仕达","","-\3E","111938","123456789012","";
"20000320","1","金仕达","","-\3E","111949","123456789012","";
"20000320","1","金仕达","","-\3E","112335","123456789012","";
"20000320","1","金仕达","","-\3E","112349","123456789012","";
"20000320","1","金仕达","","-\3E","112354","123456789012","";
"20000320","1","金仕达","","-\3E","112356","123456789012","";
"20000320","1","金仕达","","-\3E","112543","123456789012","";
"20000320","1","金仕达","","-\3E","112554","123456789012","";
"20000320","1","金仕达","","-\3E","113023","123456789012","";
"20000320","1","金仕达","","-\3E","113657","123456789012","";
"20000320","1","金仕达","","-\3E","113721","123456789012","";
"20000320","1","金仕达","","-\3E","113908","123456789012","";
"20000320","1","金仕达","","-\3E","113917","123456789012","";
"20000320","1","金仕达","","-\3E","114759","123456789012","";
"20000320","1","金仕达","","-\3E","114932","123456789012","";
"20000320","1","金仕达","","-\3E","114955","123456789012","";
"20000320","1","金仕达","","-\3E","115011","123456789012","";
"20000320","1","金仕达","","-\3E","115138","123456789012","";
"20000320","1","金仕达","","-\3E","115710","123456789012","";
"20000320","1","金仕达","","-\3E","115726","123456789012","";
"20000320","1","金仕达","","-\3E","115732","123456789012","";
"20000320","1","金仕达","","-\3E","115923","123456789012","";
"20000320","1","金仕达","","-\3E","115936","123456789012","";
"20000320","1","金仕达","","-\3E","115948","123456789012","";
"20000320","1","金仕达","","-\3E","115954","123456789012","";
"20000320","1","金仕达","","-\3E","115958","123456789012","";
"20000320","1","金仕达","","-\3E","133729","123456789012","";
"20000320","1","金仕达","","-\3E","133742","123456789012","";
"20000320","1","金仕达","","-\3E","133745","123456789012","";
"20000320","1","金仕达","","-\3E","160534","123456789012","";
"20000320","1","金仕达","","-\3E","160539","123456789012","";
"20000320","1","金仕达","","-\3E","160544","123456789012","";
"20000320","1","金仕达","","-\3E","160548","123456789012","";
"20000320","1","金仕达","","-\3E","161313","123456789012","";
"20000320","1","金仕达","","-\3E","161415","123456789012","";
"20000320","1","金仕达","","-\3E","161625","123456789012","";
"20000320","1","金仕达","","-\3E","161647","123456789012","";
"20000320","1","金仕达","","-\3E","161721","123456789012","";
"20000320","1","金仕达","","-\3E","161739","123456789012","";
"20000320","1","金仕达","","-\3E","161751","123456789012","";
"20000320","1","金仕达","","-\3E","161807","123456789012","";
"20000320","1","金仕达","","-\3E","161815","123456789012","";
